Name of Unit,Address,District,Category Pri or ULB,Head of Office
Sumin Lingzey,Duga,Pakyong,PRI,President/Sachiva
West Pendam,Duga,Pakyong,PRI,President/Sachiva
Central Pendam,Duga,Pakyong,PRI,President/Sachiva
Budung Kamarey,Duga,Pakyong,PRI,President/Sachiva
Sirwani,Khamdong,Gangtok,PRI,President/Sachiva
Chisopani,Khamdong,Gangtok,PRI,President/Sachiva
Khamdong,Khamdong,Gangtok,PRI,President/Sachiva
Dung Dung Thasa,Khamdong,Gangtok,PRI,President/Sachiva
Simik Lingzey,Khamdong,Gangtok,PRI,President/Sachiva
Samlik Marchak,Martam,Gangtok,PRI,President/Sachiva
Namli,Martam,Gangtok,PRI,President/Sachiva
Martam Nazitam,Martam,Gangtok,PRI,President/Sachiva
Beng Phegyong,Martam,Gangtok,PRI,President/Sachiva
Gnathang,Nandok,Gangtok,PRI,President/Sachiva
Assam Lingzey,Nandok,Gangtok,PRI,President/Sachiva
Bhusuk Naitam,Nandok,Gangtok,PRI,President/Sachiva
Nandok Saramsa,Nandok,Gangtok,PRI,President/Sachiva
Rongey Tathangchen,Nandok,Gangtok,PRI,President/Sachiva
Kopibari Syari,Nandok,Gangtok,PRI,President/Sachiva
East Pandam,Pakyong,Pakyong,PRI,President/Sachiva
Chalamthang Pacheykhani,Pakyong,Pakyong,PRI,President/Sachiva
Taza,Pakyong,Pakyong,PRI,President/Sachiva
Biring Tareythang,Pakyong,Pakyong,PRI,President/Sachiva
Amba,Pakyong,Pakyong,PRI,President/Sachiva
Pachey Samsing,Pakyong,Pakyong,PRI,President/Sachiva
Namcheybong,Pakyong,Pakyong,PRI,President/Sachiva
Aho Yangtam,Pakyong,Pakyong,PRI,President/Sachiva
Pakyong Yakten,Pakyong,Pakyong,PRI,President/Sachiva
Latuk Barapathing,Parakha,Pakyong,PRI,President/Sachiva
Linkey Parakha,Parakha,Pakyong,PRI,President/Sachiva
Riwa Machong,Parakha,Pakyong,PRI,President/Sachiva
Tumin,Rakdong Tintek,Gangtok,PRI,President/Sachiva
Samdong Kambal,Rakdong Tintek,Gangtok,PRI,President/Sachiva
Rakdong Tintek,Rakdong Tintek,Gangtok,PRI,President/Sachiva
Patuk Singbel,Rakdong Tintek,Gangtok,PRI,President/Sachiva
Luing Perbing,Ranka,Gangtok,PRI,President/Sachiva
Ranka,Ranka,Gangtok,PRI,President/Sachiva
Rey Mendu,Ranka,Gangtok,PRI,President/Sachiva
Rawtey Rumtek,Ranka,Gangtok,PRI,President/Sachiva
Dolepchen,Regu,Pakyong,PRI,President/Sachiva
Regoh,Regu,Pakyong,PRI,President/Sachiva
Premlakha Subaneydara,Regu,Pakyong,PRI,President/Sachiva
Lingtam Phadamchen,Regu,Pakyong,PRI,President/Sachiva
Rolep Lamaten,Regu,Pakyong,PRI,President/Sachiva
Chujachen,Regu,Pakyong,PRI,President/Sachiva
Rongli Changeylakha,Regu,Pakyong,PRI,President/Sachiva
Tarpin,Rhenock,Pakyong,PRI,President/Sachiva
Aritar,Rhenock,Pakyong,PRI,President/Sachiva
Rhenock,Rhenock,Pakyong,PRI,President/Sachiva
Sudunglakha,Rhenock,Pakyong,PRI,President/Sachiva
Chungthang,Chungthang,Mangan,PRI,President/Sachiva
Shipgyer,Chungthang,Mangan,PRI,President/Sachiva
Lachen Dzumsa,Chungthang,Mangan,PRI,President/Sachiva
Lachung Dzumsa,Chungthang,Mangan,PRI,President/Sachiva
Kabi Rongpa,Kabi,Mangan,PRI,President/Sachiva
Lingchom Tingda,Kabi,Mangan,PRI,President/Sachiva
Phensang,Kabi,Mangan,PRI,President/Sachiva
Men Rongong,Kabi,Mangan,PRI,President/Sachiva
Rongong Tumlong,Kabi,Mangan,PRI,President/Sachiva
Navey Shotak,Kabi,Mangan,PRI,President/Sachiva
Lingdok Namphong,Kabi,Mangan,PRI,President/Sachiva
Kyongnosla,Kabi,Mangan,PRI,President/Sachiva
Ramthang Tangyek,Mangan,Mangan,PRI,President/Sachiva
Namok Swayem,Mangan,Mangan,PRI,President/Sachiva
Mangshila Tibuk,Mangan,Mangan,PRI,President/Sachiva
Tingchem Chadey,Mangan,Mangan,PRI,President/Sachiva
Ringhim Nampatam,Mangan,Mangan,PRI,President/Sachiva
Singhik,Mangan,Mangan,PRI,President/Sachiva
Tung Naga,Mangan,Mangan,PRI,President/Sachiva
Lingthem Lingdem,Passingdong,Mangan,PRI,President/Sachiva
Passingdang Safo,Passingdong,Mangan,PRI,President/Sachiva
Tingvong,Passingdong,Mangan,PRI,President/Sachiva
Sakyong Pentong,Passingdong,Mangan,PRI,President/Sachiva
Lingdong Barfok,Passingdong,Mangan,PRI,President/Sachiva
Hee Gyathang,Passingdong,Mangan,PRI,President/Sachiva
Lum Gor Sangtok,Passingdong,Mangan,PRI,President/Sachiva
Rong Bul,Namchi,Namchi,PRI,President/Sachiva
Maniram Phalidara,Namchi,Namchi,PRI,President/Sachiva
Kitam Manpur,Namchi,Namchi,PRI,President/Sachiva
Mikkhola Singithang,Namchi,Namchi,PRI,President/Sachiva
Boomtar Salleybung,Namchi,Namchi,PRI,President/Sachiva
Sorok Shyanpani,Namchi,Namchi,PRI,President/Sachiva
Assangthang,Namchi,Namchi,PRI,President/Sachiva
Mamely Kamrang,Namchi,Namchi,PRI,President/Sachiva
Tingrithang,Namchi,Namchi,PRI,President/Sachiva
Damthang,Namchi,Namchi,PRI,President/Sachiva
Kamrang,Namchi,Namchi,PRI,President/Sachiva
Rameng-Nizrameng,Namthang,Namchi,PRI,President/Sachiva
Perbing-Dovan,Namthang,Namchi,PRI,President/Sachiva
Chuba Phong,Namthang,Namchi,PRI,President/Sachiva
Namthang Maneydara,Namthang,Namchi,PRI,President/Sachiva
Nagi Karek,Namthang,Namchi,PRI,President/Sachiva
Kateng Pamphok,Namthang,Namchi,PRI,President/Sachiva
Turung Mamring,Namthang,Namchi,PRI,President/Sachiva
Tanzi Bikmat,Namthang,Namchi,PRI,President/Sachiva
Rateypani,Namthang,Namchi,PRI,President/Sachiva
Saprey Naghi,Namthang,Namchi,PRI,President/Sachiva
Salghari,Poklok Nandugaon,Namchi,PRI,President/Sachiva
Poklok Denchung,Poklok Nandugaon,Namchi,PRI,President/Sachiva
Tinik Chisopani,Poklok Nandugaon,Namchi,PRI,President/Sachiva
Denchong,Poklok Nandugaon,Namchi,PRI,President/Sachiva
Rabong-Sangmo,Ravong,Namchi,PRI,President/Sachiva
Legship,Ravong,Namchi,PRI,President/Sachiva
Kewzing-Bakhim,Ravong,Namchi,PRI,President/Sachiva
Barfung-Zurung,Ravong,Namchi,PRI,President/Sachiva
Ralong-Namlung,Ravong,Namchi,PRI,President/Sachiva
